cycle,model,perturbation,value,mu_start,mu_end,DM_start,DM_end,dDMdt_start,dDMdt_end
usable,smnd,start_shift_days,-2.0,0.35709347756706034,0.06475024971640708,0.001878316,1.6070033570546416,0.0006707343924098506,0.10405386866439253
usable,liebig,start_shift_days,-2.0,0.22289921290636194,0.21852704357940672,0.001878316,2.1961804893740147,0.00041867515798942615,0.4799248295096781
usable,multiplicative,start_shift_days,-2.0,0.22007270186912156,0.21538514387661226,0.001878316,1.9964029711540194,0.00041336607708400094,0.42999554117770467
quasi_steady,dynamic,start_shift_days,-2.0,0.35347980178305166,0.07561134530456542,0.001878316,1.799879246688185,0.0006639467673659345,0.13609129122786146
quasi_steady,rmnd,start_shift_days,-2.0,0.34296328130759235,0.08297363365819532,0.001878316,1.704957672771593,0.0006441934186925517,0.1414665333432794
quasi_steady,smnd,start_shift_days,-2.0,0.35187675365322457,0.06465590898978729,0.001878316,1.465438129111293,0.0006609357364149103,0.09474923430598392
quasi_steady,liebig,start_shift_days,-2.0,0.2187003062250672,0.21845146798090664,0.001878316,2.0392871755144757,0.0004107882843874433,0.445485277125774
quasi_steady,multiplicative,start_shift_days,-2.0,0.21557059826634484,0.21530425826251576,0.001878316,1.843966532733406,0.0004049097038532478,0.397013846591069
usable,dynamic,start_shift_days,0.0,0.3572098449871027,0.07560764030036327,0.001878316,1.9106711166437762,0.0006709529671967948,0.14446133451949605
usable,rmnd,start_shift_days,0.0,0.3470153381125619,0.08297221960156176,0.001878316,1.8192155238838663,0.0006518044618222348,0.15094434995026237
usable,smnd,start_shift_days,0.0,0.35697869974946245,0.06465658200541857,0.001878316,1.5898987117057923,0.0006705188033986114,0.1027974164337149
usable,liebig,start_shift_days,0.0,0.22280643961738594,0.21846637327697335,0.001878316,2.178075563082869,0.0004185009004363699,0.475836268989916
usable,multiplicative,start_shift_days,0.0,0.21997306872072225,0.2153202104388251,0.001878316,1.978688769914931,0.0004131789345472322,0.4260516823310229
quasi_steady,dynamic,start_shift_days,0.0,0.3533632477881452,0.07559394514639983,0.001878316,1.7995552373859172,0.0006637278421324378,0.13603547990286755
quasi_steady,rmnd,start_shift_days,0.0,0.3428368281536368,0.08295736291057138,0.001878316,1.704627926616069,0.0006439558997102266,0.14141143753578408
quasi_steady,smnd,start_shift_days,0.0,0.35171797085001205,0.06463793128310319,0.001878316,1.464966502284707,0.0006606374921351113,0.09469240410672691
quasi_steady,liebig,start_shift_days,0.0,0.21857306808651153,0.21845143326425998,0.001878316,2.0394409792612787,0.000410549290955984,0.44551880497749224
quasi_steady,multiplicative,start_shift_days,0.0,0.21543440446538417,0.21530422110774788,0.001878316,1.8440471284985294,0.00040465388885780256,0.39703113068735496
usable,dynamic,start_shift_days,2.0,0.3570929839599484,0.07557925400982357,0.001878316,1.895806053819802,0.0006707334652597144,0.14328360729500808
usable,rmnd,start_shift_days,2.0,0.3468882348810505,0.08294142591529258,0.001878316,1.803846753480944,0.0006515657217888352,0.14961362186638075
usable,smnd,start_shift_days,2.0,0.3568182527964409,0.06461792477575234,0.001878316,1.5730090560320353,0.0006702174333195998,0.10164458085425526
usable,liebig,start_shift_days,2.0,0.2226767820939957,0.2184354077202437,0.001878316,2.159440330511657,0.00041825736263566564,0.47169822904285164
usable,multiplicative,start_shift_days,2.0,0.2198338362326012,0.21528707021137072,0.001878316,1.9605455154911238,0.00041291741193707457,0.42208010004612556
quasi_steady,dynamic,start_shift_days,2.0,0.3532897087493943,0.07559389275918266,0.001878316,1.7992975416261303,0.0006635897125793274,0.1360159054035467
quasi_steady,rmnd,start_shift_days,2.0,0.3427570483733875,0.08295730608046059,0.001878316,1.704363117127681,0.0006438060480725077,0.14138937277980893
quasi_steady,smnd,start_shift_days,2.0,0.35161780765914163,0.06463785994068266,0.001878316,1.4646807982848342,0.0006604493540110884,0.09467383229734239
quasi_steady,liebig,start_shift_days,2.0,0.218492820960229,0.2184513761168617,0.001878316,2.0391223433559613,0.00041039856149473354,0.4454490819767495
quasi_steady,multiplicative,start_shift_days,2.0,0.21534851614726624,0.21530415994693744,0.001878316,1.843738778123169,0.0004044925634556686,0.3969646287854018
usable,dynamic,start_shift_days,5.0,0.3568378555410189,0.07556729121577566,0.001878316,1.8746233890768798,0.0006702542534683844,0.14166021156227687
usable,rmnd,start_shift_days,5.0,0.34661078047555305,0.08292844875103056,0.001878316,1.781965727067018,0.000651044574739719,0.1477756534731701
usable,smnd,start_shift_days,5.0,0.3564681049290878,0.06460163419986598,0.001878316,1.5490303300795054,0.0006695597449779846,0.10006989074829385
usable,liebig,start_shift_days,5.0,0.22239394616238162,0.2184223590884558,0.001878316,2.1329219539527604,0.00041772610737994,0.46587784493392065
usable,multiplicative,start_shift_days,5.0,0.2195301627237807,0.21527310543278438,0.001878316,1.9347489269668938,0.0004123470171266809,0.4164994097409106
quasi_steady,dynamic,start_shift_days,5.0,0.3532372442617205,0.0755938195531562,0.001878316,1.799258802052945,0.0006634911676926978,0.1360128452118183
quasi_steady,rmnd,start_shift_days,5.0,0.34270013399212235,0.08295722666592675,0.001878316,1.7043233089398506,0.0006436991448795473,0.1413859350517455
quasi_steady,smnd,start_shift_days,5.0,0.3515463582612943,0.06463776024662121,0.001878316,1.4646378512396645,0.0006603151494639214,0.0946709102765559
quasi_steady,liebig,start_shift_days,5.0,0.21843558636568913,0.21845129625896798,0.001878316,2.0390744470060223,0.0004102910568400558,0.44543845611700383
quasi_steady,multiplicative,start_shift_days,5.0,0.21528726140053928,0.2153040744806979,0.001878316,1.8436924289290468,0.00040437750768481534,0.39695449203763833
